Sample Name	Protocol REF	Extract Name	Protocol REF	Protocol REF	Parameter Value[cleavage agent name]	Term Source REF	Term Accession Number	Protocol REF	Raw Spectral Data File	Protocol REF	Parameter Value[MS2 ion mass tolerance]	Unit	Term Source REF	Term Accession Number	Parameter Value[PrecursorIon mass tolerance]	Unit	Term Source REF	Term Accession Number	Parameter Value[cleavage agent name]	Term Source REF	Term Accession Number	Parameter Value[Maximum Missed Cleavages Setting]	Parameter Value[Fixed modification setting]	Parameter Value[Variable modification setting]	Protocol REF	Parameter Value[PSM-level q-value]	Derived Spectral Data File	Factor Value[disease]	Term Source REF	Term Accession Number
C10	sample pooling	20160515_ascites_pooled_C1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C1_F3.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C1.msf	gastric carcinoma	EFO	EFO_0000178
C13	sample pooling	20160515_ascites_pooled_C1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C1_F3.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C1.msf	gastric carcinoma	EFO	EFO_0000178
C16	sample pooling	20160515_ascites_pooled_C1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C1_F3.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C1.msf	gastric carcinoma	EFO	EFO_0000178
C25	sample pooling	20160515_ascites_pooled_C1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C1_F3.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C1.msf	gastric carcinoma	EFO	EFO_0000178
C27	sample pooling	20160515_ascites_pooled_C1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C1_F3.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C1.msf	gastric carcinoma	EFO	EFO_0000178
C01	sample pooling	20160515_ascites_pooled_C1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C1_F4.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C1.msf	gastric carcinoma	EFO	EFO_0000178
C10	sample pooling	20160515_ascites_pooled_C1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C1_F4.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C1.msf	gastric carcinoma	EFO	EFO_0000178
C13	sample pooling	20160515_ascites_pooled_C1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C1_F4.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C1.msf	gastric carcinoma	EFO	EFO_0000178
C16	sample pooling	20160515_ascites_pooled_C1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C1_F4.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C1.msf	gastric carcinoma	EFO	EFO_0000178
C25	sample pooling	20160515_ascites_pooled_C1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C1_F4.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C1.msf	gastric carcinoma	EFO	EFO_0000178
C27	sample pooling	20160515_ascites_pooled_C1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C1_F4.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C1.msf	gastric carcinoma	EFO	EFO_0000178
C01	sample pooling	20160515_ascites_pooled_C1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C1_F5.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C1.msf	gastric carcinoma	EFO	EFO_0000178
C10	sample pooling	20160515_ascites_pooled_C1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C1_F5.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C1.msf	gastric carcinoma	EFO	EFO_0000178
C13	sample pooling	20160515_ascites_pooled_C1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C1_F5.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C1.msf	gastric carcinoma	EFO	EFO_0000178
C16	sample pooling	20160515_ascites_pooled_C1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C1_F5.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C1.msf	gastric carcinoma	EFO	EFO_0000178
C25	sample pooling	20160515_ascites_pooled_C1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C1_F5.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C1.msf	gastric carcinoma	EFO	EFO_0000178
C27	sample pooling	20160515_ascites_pooled_C1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C1_F5.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C1.msf	gastric carcinoma	EFO	EFO_0000178
C01	sample pooling	20160515_ascites_pooled_C1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C1_F6.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C1.msf	gastric carcinoma	EFO	EFO_0000178
C10	sample pooling	20160515_ascites_pooled_C1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C1_F6.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C1.msf	gastric carcinoma	EFO	EFO_0000178
C13	sample pooling	20160515_ascites_pooled_C1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C1_F6.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C1.msf	gastric carcinoma	EFO	EFO_0000178
C16	sample pooling	20160515_ascites_pooled_C1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C1_F6.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C1.msf	gastric carcinoma	EFO	EFO_0000178
C25	sample pooling	20160515_ascites_pooled_C1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C1_F6.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C1.msf	gastric carcinoma	EFO	EFO_0000178
C27	sample pooling	20160515_ascites_pooled_C1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C1_F6.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C1.msf	gastric carcinoma	EFO	EFO_0000178
C28	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F1.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C29	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F1.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C31	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F1.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C32	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F1.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C33	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F1.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C52	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F1.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C28	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F2.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C29	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F2.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C31	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F2.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C32	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F2.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C33	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F2.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C52	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F2.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C28	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F3.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C29	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F3.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C31	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F3.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C32	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F3.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C33	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F3.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C52	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F3.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C28	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F4.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C29	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F4.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C31	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F4.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C32	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F4.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C33	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F4.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C52	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F4.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C28	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F5.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C29	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F5.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C31	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F5.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C32	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F5.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C33	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F5.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C52	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F5.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C28	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F6.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C29	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F6.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C31	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F6.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C32	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F6.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C33	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F6.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
